City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
lincoln,40.8,-96.67,28,68,1,3.36,US,1609205431
butaritari,3.07,172.79,81.57,78,100,19.46,KI,1609205542
san cristobal,7.77,-72.22,63.95,91,50,2.64,VE,1609205542
cairns,-16.92,145.77,90,66,40,8.05,AU,1609205543
lebu,-37.62,-73.65,57.15,93,44,2.48,CL,1609205543
kungurtug,50.6,97.52,-28.71,73,0,1.43,RU,1609205543
nueva guinea,11.69,-84.46,69.44,93,97,5.57,NI,1609205348
emerald,-23.53,148.17,80.6,61,90,11.41,AU,1609205543
college,64.86,-147.8,15.01,78,75,4.7,US,1609205300
russell,32.35,-85.2,53.6,93,1,1.66,US,1609205411
ushuaia,-54.8,-68.3,46.4,93,90,3.36,AR,1609205263
bandarbeyla,9.49,50.81,75.49,85,93,22.32,SO,1609205544
colares,38.8,-9.45,52,79,15,20.65,PT,1609205544
novichikha,52.2,81.39,-3.59,83,92,11.77,RU,1609205544
samarai,-10.62,150.67,87.33,68,100,13.44,PG,1609205544
monopoli,40.96,17.29,54,62,40,4.7,IT,1609205544
gawler,-34.6,138.73,73,43,0,7,AU,1609205544
vostok,46.49,135.88,-14.48,87,95,7.07,RU,1609205544
saint-georges,12.06,-61.75,77,83,20,6.64,GD,1609205545
diu,20.71,70.98,58.01,35,10,12.97,IN,1609205409
vila franca do campo,37.72,-25.43,55.4,71,75,12.75,PT,1609205545
la paz,-16.5,-68.15,42.8,93,75,9.17,BO,1609205405
derbent,42.07,48.29,42.6,80,91,1.3,RU,1609205545
port elizabeth,-33.92,25.57,66.2,93,0,11.41,ZA,1609205545
dalvik,65.97,-18.53,28.4,68,90,9.17,IS,1609205545
adrar,20.5,-10.07,74.37,29,100,9.42,MR,1609205545
kuala terengganu,5.33,103.14,78.8,88,20,2.24,MY,1609205546
ponta do sol,32.67,-17.1,59,62,75,5.82,PT,1609205546
atherton,53.52,-2.49,32,84,100,5.77,GB,1609205546
port alfred,-33.59,26.89,64.99,94,7,10.47,ZA,1609205546
bitlis,38.5,42.25,24.64,88,100,3.74,TR,1609205546
souillac,-20.52,57.52,77,73,75,6.93,MU,1609205546
tezu,27.92,96.17,62.92,30,0,1.1,IN,1609205546
talnakh,69.49,88.4,-31,66,0,2.24,RU,1609205547
straumen,63.87,11.3,42.8,56,75,21.92,NO,1609205547
castro,-24.79,-50.01,63,95,0,5.28,BR,1609205547
kaitangata,-46.28,169.85,61,75,75,18.99,NZ,1609205547
ahipara,-35.17,173.17,65.48,54,7,12.86,NZ,1609205547
alofi,-19.06,-169.92,82.4,78,75,9.17,NU,1609205416
oktyabrskiy,54.48,53.47,-8.16,90,59,2.46,RU,1609205547
baykit,61.67,96.37,-30.53,78,5,1.21,RU,1609205547
arraial do cabo,-22.97,-42.03,77,78,75,13.87,BR,1609205340
karratha,-20.74,116.85,88.99,55,28,6.13,AU,1609205548
cherskiy,68.75,161.3,-37.62,82,79,0.72,RU,1609205548
capinopolis,-18.68,-49.57,73.38,87,100,4.07,BR,1609205548
muroto,33.28,134.15,55.4,50,75,9.17,JP,1609205266
vao,-22.67,167.48,77.79,78,39,19.08,NC,1609205548
kirensk,57.79,108.11,-25.55,83,100,5.64,RU,1609205548
atar,20.52,-13.05,72.36,34,100,3.24,MR,1609205548
sao joao da barra,-21.64,-41.05,75.61,86,100,16.62,BR,1609205548
kenai,60.55,-151.26,35.6,97,20,6.93,US,1609205548
palimbang,6.21,124.19,84.97,64,58,3.76,PH,1609205549
norman wells,65.28,-126.83,-2.2,77,75,5.82,CA,1609205549
alexandria,31.22,29.96,53.6,93,6,2.24,EG,1609205549
bonavista,48.65,-53.11,23,85,100,2.24,CA,1609205475
alyangula,-13.85,136.42,87.8,70,40,8.05,AU,1609205549
gushi,34.64,109.58,31.42,70,100,14.36,CN,1609205549
la ronge,55.1,-105.28,10.4,92,89,2.24,CA,1609205549
petropavlovsk-kamchatskiy,53.05,158.65,8.6,60,90,4.47,RU,1609205417
port hardy,50.7,-127.42,39.2,100,90,3.36,CA,1609205282
sangar,63.92,127.47,-40.86,80,100,3.78,RU,1609205550
husavik,66.04,-17.34,28.4,68,90,9.17,IS,1609205361
sao filipe,14.9,-24.5,73.8,83,56,9.93,CV,1609205550
hobyo,5.35,48.53,78.8,80,45,21.83,SO,1609205550
port lincoln,-34.73,135.87,64.62,59,57,4.38,AU,1609205550
terrace,54.52,-128.6,32,93,90,4.7,CA,1609205550
redlands,34.06,-117.18,48.2,76,90,8.05,US,1609205550
fortuna,40.6,-124.16,46.99,70,1,1.99,US,1609205550
mtwara,-10.27,40.18,78.8,88,75,17.22,TZ,1609205550
magadan,59.57,150.8,-3.42,82,100,7.34,RU,1609205550
saldanha,-33.01,17.94,60.8,77,0,3.36,ZA,1609205551
saint-philippe,-21.36,55.77,77,61,0,12.75,RE,1609205551
inuvik,68.35,-133.72,-4,76,100,1.12,CA,1609205551
tigil,57.8,158.67,14.02,96,100,4.85,RU,1609205551
salamiyah,35.01,37.05,45.55,63,0,4.81,SY,1609205551
esperance,-33.87,121.9,73.4,38,100,13.87,AU,1609205551
hobart,-42.88,147.33,69.01,42,75,16.11,AU,1609205551
sakaiminato,35.55,133.23,42.8,93,75,3.36,JP,1609205552
watertown,42.37,-71.18,44.01,75,1,4.7,US,1609205552
moranbah,-22,148.05,75.7,77,100,10.07,AU,1609205552
kautokeino,69.01,23.04,19.24,96,100,19.37,NO,1609205552
constitucion,-35.33,-72.42,57.24,83,0,12.3,CL,1609205552
airai,-8.93,125.41,73.72,72,94,2.53,TL,1609205552
glenwood springs,39.55,-107.32,27,92,90,5.82,US,1609205338
lumeje,-11.55,20.78,66.69,93,100,4.18,AO,1609205553
takoradi,4.88,-1.76,79.14,85,94,7.36,GH,1609205553
harqalah,36.03,10.51,48.2,75,0,6.93,TN,1609205553
comodoro rivadavia,-45.87,-67.5,69.8,68,0,16.53,AR,1609205401
kondinskoye,59.65,67.41,-10.57,90,100,7.2,RU,1609205553
havre,49.58,0.33,41,80,90,12.75,FR,1609205553
dubai,25.26,55.3,62.6,59,0,3.36,AE,1609205505
alugan,12.22,125.48,82.87,72,48,5.17,PH,1609205553
honiara,-9.43,159.95,87.8,70,40,6.93,SB,1609205554
hellvik,59.92,5.78,39.99,75,40,6.93,NO,1609205554
indianola,41.36,-93.56,24.01,69,0,4.83,US,1609205554
fairbanks,64.84,-147.72,16,78,90,1.12,US,1609205543
ribeira grande,38.52,-28.7,57.79,73,100,18.97,PT,1609205554
rundu,-17.93,19.77,70.81,79,95,4.43,NA,1609205554
pontianak,-0.03,109.33,79.66,84,48,3.65,ID,1609205300
korla,41.76,86.15,17.33,86,0,5.12,CN,1609205554
gat,31.61,34.76,55.99,14,1,1.99,IL,1609205555
bay city,43.59,-83.89,28.4,63,1,13.87,US,1609205555
libertador general san martin,-23.81,-64.79,82.99,70,100,3.56,AR,1609205555
khatanga,71.97,102.5,-31.63,83,82,15.32,RU,1609205555
moron,-34.65,-58.62,80.01,69,100,7,AR,1609205555
nhulunbuy,-12.23,136.77,82.4,88,75,9.17,AU,1609205555
dunedin,-45.87,170.5,59.83,69,3,18.97,NZ,1609205482
verkhniye tatyshly,56.29,55.86,-7.55,91,18,4.85,RU,1609205555
krasnyy chikoy,50.36,108.75,-13.88,84,100,4.94,RU,1609205555
kirakira,-10.45,161.92,84.51,71,100,4.56,SB,1609205556
missoula,47.02,-113.8,23,92,1,1.3,US,1609205442
acapulco,16.86,-99.89,78.8,78,20,3.36,MX,1609205556
saint george,37.1,-113.58,42.8,70,90,3.36,US,1609205556
jieshi,22.81,115.83,69.01,76,17,6.58,CN,1609205556
punta alta,-38.88,-62.07,78.24,56,80,11.83,AR,1609205556
saint-pierre,-21.34,55.48,77,61,0,12.75,RE,1609205556
jaciara,-15.97,-54.97,74.23,85,100,2.08,BR,1609205556
siderno,38.28,16.3,57.2,62,1,9.17,IT,1609205556
dalbandin,28.89,64.41,35.11,63,2,5.91,PK,1609205556
pathein,16.78,94.73,76.24,71,0,6.73,MM,1609205557
belogorsk,50.92,128.46,-21.86,84,4,4.18,RU,1609205557
cap malheureux,-19.98,57.61,73.99,83,100,5.01,MU,1609205292
muros,42.78,-9.06,46.99,83,99,5.99,ES,1609205557
correntina,-13.34,-44.64,69.6,71,0,3.18,BR,1609205557
mount gambier,-37.83,140.77,66.2,68,90,11.41,AU,1609205459
te anau,-45.42,167.72,71.38,34,96,3.83,NZ,1609205557
chalchihuites,23.48,-103.88,50.95,42,0,6.06,MX,1609205557
saint anthony,45.02,-93.22,17.6,72,1,6.93,US,1609205342
susehri,40.16,38.09,34.21,74,100,2.33,TR,1609205557
saint-augustin,51.23,-58.65,28.53,93,100,11.48,CA,1609205558
usinsk,65.99,57.53,-26.59,86,86,1.23,RU,1609205558
general roca,-39.03,-67.58,86,27,0,12.75,AR,1609205558
bay roberts,47.6,-53.26,27,85,20,4.7,CA,1609205558
vandra,58.65,25.04,33.01,99,100,3,EE,1609205558
belaya gora,68.53,146.42,-35.23,81,3,1.81,RU,1609205558
broome,42.25,-75.83,33.8,64,90,10.29,US,1609205558
grindavik,63.84,-22.43,28.4,63,75,8.05,IS,1609205558
praia da vitoria,38.73,-27.07,57.2,71,90,14.25,PT,1609205558
gushikawa,26.35,127.87,73.4,88,20,6.93,JP,1609205559
zatoka,46.07,30.47,46.4,100,90,15.66,UA,1609205559
berberati,4.26,15.79,68.23,43,0,1.61,CF,1609205559
kawhia,-38.07,174.82,71.01,49,38,5.01,NZ,1609205559
price,39.6,-110.81,26.6,92,90,4.12,US,1609205305
surt,31.21,16.59,54.55,53,0,15.52,LY,1609205559
mount isa,-20.73,139.5,86,51,100,4.7,AU,1609205559
caravelas,-17.71,-39.25,74.41,86,0,5.61,BR,1609205559
narsaq,60.92,-46.05,30.2,68,28,8.05,GL,1609205559
batagay,67.63,134.63,-19.03,87,100,1.41,RU,1609205560
northam,51.03,-4.22,44.01,85,97,10,GB,1609205560
san vicente,-26.62,-54.13,68.45,84,13,2.26,AR,1609205560
goma,-1.68,29.22,61.88,79,97,3.04,CD,1609205560
majene,-3.54,118.97,84.29,68,100,4.18,ID,1609205560
hun,29.13,15.95,50.02,47,0,4.5,LY,1609205560
aktau,43.65,51.2,19.4,85,0,8.95,KZ,1609205560
sola,-13.88,167.55,86,79,75,6.06,VU,1609205561
jasper,37.2,-94.35,36,69,1,3.36,US,1609205409
asau,46.43,26.4,37,84,13,4.74,RO,1609205561
aswan,24.09,32.91,59.74,72,0,7.65,EG,1609205561
evensk,61.95,159.23,2.79,81,83,13.8,RU,1609205561
bideford,51.02,-4.2,44.01,85,100,10,GB,1609205343
portland,45.52,-122.68,41,70,1,8.05,US,1609205283
cape coast,5.11,-1.25,79.07,84,100,7.29,GH,1609205561
mahibadhoo,3.78,72.97,82.11,73,18,10.13,MV,1609205562
cayenne,4.93,-52.33,75.2,94,42,3.36,GF,1609205562
tyumentsevo,53.32,81.5,-1.05,84,100,11.72,RU,1609205562
tete,-16.16,33.59,84.2,66,40,9.17,MZ,1609205406
hambantota,6.12,81.12,73.4,100,20,4.7,LK,1609205562
pevek,69.7,170.31,-23.42,86,0,1.54,RU,1609205562
dunmore town,25.5,-76.65,71.53,71,0,23.47,BS,1609205562
geraldton,-28.77,114.6,98.6,13,0,28.86,AU,1609205280
juneau,58.3,-134.42,37.4,91,90,13.87,US,1609205562
sorong,-0.88,131.25,84.09,69,100,3.83,ID,1609205562
la fria,8.22,-72.24,72.82,84,79,3.42,VE,1609205563
bethel,41.37,-73.41,44.6,89,75,6.93,US,1609205468
kudahuvadhoo,2.67,72.89,82.53,73,72,9.78,MV,1609205563
harboore,56.62,8.18,37,96,100,11.41,DK,1609205563
pacific grove,36.62,-121.92,53.6,71,40,10.07,US,1609205563
aklavik,68.22,-135.01,-7.6,83,90,0.58,CA,1609205563
ternate,0.8,127.4,84.61,66,83,1.05,ID,1609205563
fort nelson,58.81,-122.7,-7.6,83,40,3.36,CA,1609205409
melito di porto salvo,37.92,15.77,57.2,62,8,9.17,IT,1609205563
kodiak,57.79,-152.41,39.2,69,1,4.7,US,1609205564
tazmalt,36.39,4.4,51.8,87,75,5.82,DZ,1609205564
tasiilaq,65.61,-37.64,28.4,92,100,3.36,GL,1609205564
michigan city,41.71,-86.89,30.2,58,75,4.7,US,1609205509
xuddur,4.12,43.89,73.74,77,0,14.67,SO,1609205564
sao jose da coroa grande,-8.9,-35.15,76.28,77,4,10.25,BR,1609205564
altay,47.87,88.12,1.89,47,1,4.18,CN,1609205564
guerrero negro,27.98,-114.06,57.6,78,2,8.55,MX,1609205564
chapais,49.78,-74.85,6.8,77,90,17.22,CA,1609205564
puerto colombia,10.99,-74.95,78.8,88,20,10.29,CO,1609205358
davila,18.47,120.58,80.6,83,75,3.36,PH,1609205565
samana,19.21,-69.34,75.31,82,90,8.48,DO,1609205440
kulebaki,55.41,42.53,7.43,95,0,5.01,RU,1609205565
ouegoa,-20.35,164.43,84.92,66,35,11.14,NC,1609205565
rizoma,39.66,21.73,48.99,93,40,3.74,GR,1609205565
arman,59.7,150.17,-4.52,83,100,9.22,RU,1609205565
kavieng,-2.57,150.8,86.29,62,96,9.33,PG,1609205565
baoying,33.23,119.31,36.82,91,100,23.82,CN,1609205566
batagay-alyta,67.8,130.41,-6.83,88,100,4.72,RU,1609205566
la asuncion,11.03,-63.86,76.06,85,100,5.84,VE,1609205566
ampere,-25.91,-53.47,69.69,80,1,2.95,BR,1609205566
hasaki,35.73,140.83,50,61,75,8.05,JP,1609205525
okhotsk,59.38,143.3,-26.43,76,0,16.02,RU,1609205566
onega,63.91,38.14,10.72,94,68,11.59,RU,1609205566
shaoyang,27.23,111.45,48.24,82,100,14.34,CN,1609205566
waingapu,-9.66,120.26,85.96,62,91,2.37,ID,1609205566
dongsheng,39.82,109.98,-8.36,64,0,14.07,CN,1609205567
wuan,31.68,112,36.99,89,100,16.26,CN,1609205567
upernavik,72.79,-56.15,25.41,94,100,24.74,GL,1609205567
timizart,36.8,4.27,50.65,82,87,5.41,DZ,1609205296
sorland,67.67,12.69,39.47,73,96,22.57,NO,1609205567
yangambi,0.81,24.43,71.08,95,100,2.48,CD,1609205567
quang ngai,15.12,108.8,74.91,74,83,3.02,VN,1609205567
cururupu,-1.83,-44.87,76.87,85,0,4.18,BR,1609205567
namibe,-15.2,12.15,70.21,87,100,1.3,AO,1609205567
yinchuan,38.47,106.27,6.75,64,0,6.91,CN,1609205568
sao felix da marinha,41.04,-8.62,48.2,87,75,3.36,PT,1609205568
college station,30.63,-96.33,68,60,1,10.29,US,1609205337
malakal,9.53,31.66,73.09,21,0,5.97,SS,1609205568
bengkulu,-3.8,102.27,76.62,82,100,6.53,ID,1609205568
dingle,11,122.67,82.8,77,100,5.14,PH,1609205568
uniao,-4.59,-42.86,84.2,62,0,4.83,BR,1609205569
bengbu,32.94,117.36,33.51,94,100,20.94,CN,1609205569
malpe,13.35,74.72,73.4,88,40,4.7,IN,1609205569
panzhihua,26.59,101.71,52.95,46,15,0.85,CN,1609205569
lavumisa,-27.31,31.89,73.4,94,67,1.12,SZ,1609205569
faanui,-16.48,-151.75,81.03,68,25,6.8,PF,1609205362
hamilton,39.18,-84.53,33.01,92,90,9.17,US,1609205458
broken hill,-31.95,141.43,69.8,26,0,14.99,AU,1609205569
kindu,-2.95,25.95,69.06,95,100,2.04,CD,1609205569
opuwo,-18.06,13.84,64.72,88,100,6.31,NA,1609205570
hervey bay,-25.3,152.85,84.99,67,100,5.01,AU,1609205570
san juan,-31.54,-68.54,85.6,38,25,7.4,AR,1609205401
aksu,41.12,80.26,14.49,91,10,2.71,CN,1609205570
jucurutu,-6.03,-37.02,79.18,58,0,11.92,BR,1609205570
kumbo,6.2,10.67,60.1,47,93,4.27,CM,1609205570
peniche,39.36,-9.38,55,75,5,11.01,PT,1609205570
saint-denis,48.92,2.33,37.99,93,90,8.05,FR,1609205570
rawson,-43.3,-65.1,80.6,42,40,17.22,AR,1609205449
kulhudhuffushi,6.62,73.07,81.43,71,1,7.18,MV,1609205570
yanam,16.73,82.22,68,88,20,8.05,IN,1609205571
roscommon,53.63,-8.18,39.99,57,82,8.99,IE,1609205571
richards bay,-28.78,32.04,72.86,79,0,10.25,ZA,1609205571
ravar,31.27,56.81,41.2,59,72,0.81,IR,1609205571
nelson bay,-32.72,152.15,72,88,90,8.05,AU,1609205571
alice springs,-23.7,133.88,80.01,20,0,11.41,AU,1609205571
mangrol,21.12,70.12,57.69,41,0,14.43,IN,1609205571
beatrice,40.27,-96.75,28.4,74,1,5.82,US,1609205571
san ignacio,17.16,-89.07,71.6,88,75,2.55,BZ,1609205572
alta floresta,-9.88,-56.09,70.7,95,90,2.89,BR,1609205572
katherine,-14.47,132.27,82.4,78,40,9.17,AU,1609205572
rosetta,31.4,30.42,53.6,93,0,2.24,EG,1609205572
gao,16.64,1.64,63.41,25,0,8.66,ML,1609205572
taoudenni,22.68,-3.98,68.49,24,99,8.7,ML,1609205572
lagoa,39.05,-27.98,56.77,72,100,17.76,PT,1609205572
den helder,52.96,4.76,39.2,86,90,5.82,NL,1609205356
nicoya,10.15,-85.45,78.8,69,0,6.93,CR,1609205406
noumea,-22.28,166.46,86,62,90,5.82,NC,1609205573
mareeba,-17,145.43,90,66,40,8.05,AU,1609205573
rio claro,-22.41,-47.56,73,100,74,5.82,BR,1609205309
bridlington,54.08,-0.19,35.6,93,100,9.17,GB,1609205573
shimoda,34.67,138.95,59,62,75,5.82,JP,1609205573
haradok,55.46,29.98,30.2,92,90,11.18,BY,1609205574
san quintin,30.48,-115.95,57.58,66,2,10.92,MX,1609205574
bonthe,7.53,-12.51,78.08,86,95,5.55,SL,1609205574
neufchateau,48.35,5.7,37.4,86,75,23.04,FR,1609205574
tarko-sale,64.92,77.78,-11.99,80,100,18.1,RU,1609205574
bethanien,-26.5,17.16,73.67,24,100,4.79,NA,1609205574
gavle,60.67,17.14,36,98,100,4,SE,1609205574
margate,51.38,1.39,39,86,100,5.01,GB,1609205573
port-cartier,50.03,-66.87,32,98,100,9.17,CA,1609205575
taltal,-25.4,-70.48,63.84,78,62,1.95,CL,1609205575
luganville,-15.53,167.17,86,74,40,4.7,VU,1609205575
puerto escondido,15.85,-97.07,75.2,78,75,4.7,MX,1609205575
san jose,37.34,-121.89,53.6,66,40,10.29,US,1609205501
atambua,-9.11,124.89,83.25,67,46,5.37,ID,1609205575
fukuma,33.77,130.47,51.8,57,75,12.75,JP,1609205575
buribay,51.96,58.16,8.58,93,0,7.05,RU,1609205575
barcelos,41.54,-8.62,48.2,87,75,3.36,PT,1609205575
krasnoselkup,65.7,82.47,-22.54,81,100,17.94,RU,1609205576
fuerte olimpo,-21.04,-57.87,78.21,79,19,4.03,PY,1609205576
bayir,37.27,28.22,44.6,93,20,2.24,TR,1609205576
kuah,6.33,99.84,84.2,74,20,4.7,MY,1609205576
kambove,-10.88,26.6,62.22,100,100,4.36,CD,1609205576
karoi,-16.81,29.69,64.8,95,100,5.08,ZW,1609205576
jiaojiang,28.68,121.44,61,90,0,3.51,CN,1609205576
xining,36.62,101.77,9.72,88,100,2.1,CN,1609205576
agirish,61.92,63.02,-20.49,87,100,9.33,RU,1609205577
tres arroyos,-38.37,-60.28,69.78,83,97,11.5,AR,1609205577
marzuq,14.4,46.47,54.86,40,24,2.28,YE,1609205577
deputatskiy,69.3,139.9,-25.26,88,28,3.27,RU,1609205577
susanville,40.42,-120.65,32,90,20,6.93,US,1609205408
tonala,20.62,-103.23,66.2,22,5,1.86,MX,1609205577
humboldt,40.67,-123.92,46.99,70,1,2.04,US,1609205577
george,-33.96,22.46,64.4,93,94,2.24,ZA,1609205578
batemans bay,-35.72,150.18,63,88,100,1.01,AU,1609205578
porto de moz,-1.75,-52.24,77.43,82,99,2.93,BR,1609205578
storforshei,66.4,14.52,25.5,90,99,8.52,NO,1609205578
svetlogorsk,52.63,29.73,32.86,96,100,17.43,BY,1609205578
tiznit,29.58,-9.5,52.09,67,0,1.68,MA,1609205578
loja,-3.99,-79.2,53.11,95,88,2.21,EC,1609205578
conde,-7.26,-34.91,77,88,40,8.05,BR,1609205578
suntar,62.14,117.63,-5.44,90,100,12.1,RU,1609205579
mayen,50.33,7.22,37,95,100,6.93,DE,1609205579
christchurch,-43.53,172.63,64,51,22,10.29,NZ,1609205410
ugoofaaru,5.67,73,81.79,67,21,7.11,MV,1609205579
chalus,36.66,51.42,41,80,0,4.7,IR,1609205579
jumla,29.27,82.18,32.77,41,16,5.44,NP,1609205579
shihezi,44.3,86.03,-3.05,90,95,3.87,CN,1609205579
porto novo,6.5,2.6,80.6,88,20,5.82,BJ,1609205579
belmonte,-15.86,-38.88,75.2,83,0,3.36,BR,1609205580
